"RelativePath","Category","Ext","SizeBytes","SizeKB","Rows"
"datasets\antarmuka\cleaned_antarmuka_id21_N71.csv","dataset_cleaned","csv","12002","11.7","71"
"datasets\antarmuka\embeddings_21_qwen-qwen3-embedding-8b_20260409.parquet","dataset_embedding","parquet","1116571","1090.4",""
"datasets\antarmuka\raw_antarmuka_id21.csv","dataset_raw","csv","13920","13.6","71"
"datasets\hadoop\cleaned_hadoop_id29_N115.csv","dataset_cleaned","csv","16327","15.9","115"
"datasets\hadoop\embeddings_29_qwen-qwen3-embedding-8b_20260305.parquet","dataset_embedding","parquet","1993836","1947.1",""
"datasets\hadoop\raw_hadoop_id29.csv","dataset_raw","csv","19549","19.1","117"
"datasets\kwl_data_amplified_81\cleaned_kwl_data_amplified_N81.csv","dataset_cleaned","csv","5059","4.9","81"
"datasets\kwl_data_amplified_81\embeddings_kwl_data_amplified_baai-bge-m3_20260226.parquet","dataset_embedding","parquet","693142","676.9",""
"datasets\kwl_data_amplified_81\embeddings_kwl_data_amplified_indo-s-bert_20260226.parquet","dataset_embedding","parquet","513408","501.4",""
"datasets\kwl_data_amplified_81\embeddings_kwl_data_amplified_qwen-qwen3-embedding-8b_20260226.parquet","dataset_embedding","parquet","1362827","1330.9",""
"datasets\kwl_data_amplified_81\raw_kwl_data_amplified_N90.csv","dataset_raw","csv","4419","4.3","90"
"datasets\ldm\cleaned_ldm_id23_N62.csv","dataset_cleaned","csv","6554","6.4","62"
"datasets\ldm\embeddings_23_qwen-qwen3-embedding-8b_20260409.parquet","dataset_embedding","parquet","1023173","999.2",""
"datasets\ldm\raw_ldm_id23.csv","dataset_raw","csv","8333","8.1","64"
"experiments\antarmuka\agglomerative\clusters\clusters_viz.png","cluster_output","png","236906","231.4",""
"experiments\antarmuka\agglomerative\clusters\clusters.csv","cluster_output","csv","12472","12.2","71"
"experiments\antarmuka\agglomerative\clusters\metrics.json","cluster_output","json","682","0.7",""
"experiments\antarmuka\agglomerative\clusters\reduced_data.npy","cluster_output","npy","2326656","2272.1",""
